pdq,Spdq,aic
"(0, 1, 1)","(1, 1, 1, 36)",1893.0742215940695
"(0, 1, 1)","(2, 1, 0, 36)",1893.0815431919355
"(0, 1, 0)","(1, 1, 2, 36)",1893.1954589015813
"(1, 2, 0)","(2, 1, 1, 36)",1893.3120498445514
"(0, 1, 0)","(2, 1, 1, 36)",1893.6010365196612
"(1, 1, 1)","(1, 1, 0, 36)",1893.6338362375257
"(1, 1, 0)","(0, 1, 2, 36)",1893.744992284315
"(0, 1, 0)","(0, 1, 2, 36)",1893.7727193537073
"(1, 1, 0)","(2, 1, 1, 36)",1893.9047039194145
"(1, 1, 0)","(1, 1, 2, 36)",1893.9047529072363
"(2, 1, 0)","(1, 1, 1, 36)",1894.1967582138454
"(2, 1, 0)","(2, 1, 0, 36)",1894.2043057398596
"(0, 1, 1)","(0, 1, 2, 36)",1894.9172352927333
"(2, 1, 1)","(1, 1, 0, 36)",1894.9363302089994
"(1, 1, 1)","(1, 1, 1, 36)",1895.0699367969416
"(0, 1, 1)","(2, 1, 1, 36)",1895.0741430479352
"(0, 1, 1)","(1, 1, 2, 36)",1895.0742094434395
"(1, 1, 1)","(2, 1, 0, 36)",1895.076870006657
"(1, 1, 0)","(0, 1, 1, 36)",1895.1798209225014
"(0, 1, 0)","(2, 1, 2, 36)",1895.1954522412404
"(2, 2, 0)","(1, 1, 0, 36)",1895.3465675354062
"(1, 1, 0)","(2, 1, 2, 36)",1895.904869790354
"(2, 1, 0)","(0, 1, 2, 36)",1896.046743617091
"(1, 1, 2)","(1, 1, 0, 36)",1896.0629586577031
"(2, 1, 0)","(2, 1, 1, 36)",1896.1966601938889
"(2, 1, 0)","(1, 1, 2, 36)",1896.1967226105685
"(0, 1, 0)","(0, 1, 1, 36)",1896.2145175906085
"(2, 1, 1)","(1, 1, 1, 36)",1896.3076080483747
"(2, 1, 1)","(2, 1, 0, 36)",1896.3121843458948
"(0, 1, 1)","(0, 1, 1, 36)",1896.356691876183
"(2, 2, 0)","(1, 1, 1, 36)",1896.5058445328177
"(0, 1, 2)","(1, 1, 1, 36)",1896.5058869759036
"(0, 1, 2)","(2, 1, 0, 36)",1896.5114458618818
"(2, 2, 0)","(2, 1, 0, 36)",1896.5261807640193
"(1, 1, 1)","(0, 1, 2, 36)",1896.9137272986243
"(1, 1, 1)","(2, 1, 1, 36)",1897.0698496304035
"(1, 1, 1)","(1, 1, 2, 36)",1897.0699304024806
"(0, 1, 1)","(2, 1, 2, 36)",1897.0742251014703
